TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
0000,14471,87482X10,2014-02-20,2016-08-31,1
0001,14392,26878510,2014-02-20,2019-05-22,1
0001,,,2019-06-20,2023-12-31,6
0004,14418,02504D10,2014-02-20,2018-08-24,1
000R,14378,14163310,2014-02-20,2020-02-10,1
000V,14423,15117E10,2014-03-20,2016-03-22,1
000V,14423,28249U10,2016-04-14,2023-12-29,1
000Y,14436,90400D10,2014-03-20,2023-12-29,1
000Z,14449,09072V10,2014-03-20,2016-09-28,1
000Z,14449,09072V20,2016-10-20,2018-07-09,1
000Z,14449,09072V40,2018-07-19,2020-09-07,1
000Z,14449,09072V50,2020-09-17,2023-05-16,1
000Z,14449,09072V60,2023-05-18,2023-10-24,1
0011,14416,G0702110,2014-03-20,2015-12-10,1
0011,14416,G0702112,2016-01-14,2016-02-01,1
0011,,,2016-02-18,2019-04-30,6
0017,14448,05211J10,2014-03-20,2015-05-04,1
0018,14455,28226B10,2014-03-20,2018-09-18,1
0018,,,2018-11-15,2022-12-31,6
001A,14452,28622110,2014-03-20,2018-05-16,1
001A,14452,81776310,2018-05-17,2023-03-07,1
001A,14452,14216R10,2023-03-16,2023-12-29,1
001C,14447,04022110,2014-03-20,2018-01-17,1
001C,14447,04022120,2018-01-19,2018-04-24,1
001C,,,2018-12-20,2020-12-31,6
001J,14487,49926D10,2014-03-20,2023-12-29,1
001K,14479,45780R10,2014-03-20,2023-12-29,1
001L,14451,20602210,2014-03-20,2023-03-03,1
001M,14459,45780L10,2014-03-20,2023-12-29,1
001N,14504,22265J10,2014-03-20,2015-10-20,1
001N,14504,74911910,2015-11-19,2023-09-01,1
001R,12962,12640Y20,2014-03-20,2015-08-12,1
001X,14550,75629F10,2014-03-20,2023-12-29,1
001Z,14524,G5258J10,2014-04-17,2016-02-22,1
002B,,,2014-04-17,2018-12-31,6
002G,14502,14862Q10,2014-04-17,2022-02-16,1
002J,14547,70438V10,2014-04-17,2023-12-29,1
002L,14499,02318Y10,2014-04-17,2019-07-01,1
002P,14495,00212110,2014-04-17,2023-12-29,1
002S,14574,60786M10,2014-05-15,2023-12-29,1
002T,14503,14987J10,2014-05-15,2014-11-19,1
002T,14503,69007J10,2014-11-20,2023-12-29,1
002U,14616,94859610,2014-05-15,2023-12-29,1
002Y,14527,G6583A10,2014-05-15,2017-09-01,1
0031,14594,21887L10,2014-05-15,2018-11-26,1
0033,14578,68375Y10,2014-05-15,2016-06-13,1
0039,14573,50420D10,2014-05-15,2018-05-30,1
003A,14589,00548A10,2014-05-15,2021-11-23,1
003D,14500,09627J10,2014-05-15,2022-10-05,1
003E,14566,31154R10,2014-05-15,2023-12-29,1
003F,14612,89685A10,2014-05-15,2016-02-03,1
003G,14615,92847R10,2014-05-15,2019-04-14,1
003G,14615,4525EP10,2019-04-18,2023-12-29,1
003H,14579,70432V10,2014-05-15,2023-12-29,1
003J,14559,17858710,2014-05-15,2023-12-29,1
003K,14603,71742Q10,2014-05-15,2023-12-29,1
0040,14595,G5559810,2014-06-19,2017-11-08,1
0040,,,2017-11-16,2019-12-31,6
0041,14608,78573M10,2014-06-19,2023-12-29,1
0042,14642,Y2106R11,2014-06-19,2023-12-29,1
0044,14669,Y8213L10,2014-06-19,2016-12-01,1
0045,14634,70187710,2014-06-19,2021-01-12,1
004F,14617,04014Y10,2014-06-19,2018-11-25,1
004F,14617,03990B10,2018-12-20,2023-12-29,1
004M,14618,16307510,2014-06-19,2022-09-01,1
004M,14618,16307520,2022-09-15,2023-12-29,1
004V,14676,89977P10,2014-06-19,2023-12-29,1
004W,14714,04041310,2014-06-19,2023-12-29,1
0051,14641,98936J10,2014-06-19,2022-11-21,1
0055,14677,89785L10,2014-06-19,2023-12-29,1
005H,14625,42727J10,2014-06-19,2023-12-29,1
005I,14645,00847L10,2014-06-19,2022-04-26,1
005I,14645,00847L20,2022-05-19,2023-04-10,1
005I,14645,00847L30,2023-04-20,2023-12-29,1
006E,,,2014-07-17,2017-11-14,6
006J,14697,60739U20,2014-07-17,2020-11-30,1
006K,14687,G0034910,2014-07-17,2016-06-02,1
006K,14687,G0751N10,2016-06-16,2023-12-29,1
006M,14715,04523Y10,2014-07-17,2023-12-29,1
006Q,14756,Y6366T11,2014-07-17,2016-09-26,1
006Q,14756,G6577210,2016-10-20,2019-01-27,1
006Q,14756,G6577220,2019-02-14,2019-06-06,1
006Q,14756,G4511M10,2019-06-20,2020-09-23,1
006Q,,,2020-10-15,2022-12-31,6
006V,14706,Q7362210,2014-07-17,2016-12-30,1
006V,,,2017-01-19,2020-12-31,6
006W,14716,15650430,2014-07-17,2023-12-29,1
